experiment_name,mutation_type,crossover_type,survivor_method,selection_method,seed,accuracy,fitness,num_features,runtime_seconds
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,70,0.6779342636709603,0.6774265515895785,229,196.8691909313202
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,71,0.7055472353330106,0.701563940371138,234,181.2570285797119
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,42,0.7112227903415802,0.7051005113074221,245,196.04026293754578
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,43,0.7145763639260013,0.7104044418191154,229,183.69561052322388
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,44,0.7205157774328925,0.7198927711181747,200,177.89660143852234
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,45,0.7148359601971919,0.7100666498917584,233,199.43501663208008
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,46,0.7145786282341646,0.7102636225536053,230,194.48179697990417
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,47,0.7143194315467676,0.7096017741063766,233,190.14427423477173
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,48,0.7212916359653119,0.7140196152259235,246,200.79246592521667
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,49,0.7205143122923163,0.7148914524916561,235,195.7924358844757
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,50,0.7303200985853135,0.7245738030124965,229,191.44852781295776
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,51,0.7205152446545011,0.7143208630461939,239,195.0562777519226
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,52,0.7272259880774852,0.7216462464125939,230,203.2224042415619
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,53,0.7264513282964464,0.7170919097525161,257,209.19572639465332
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,54,0.7251602730595812,0.7167871028964803,251,200.79104590415955
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,55,0.7279978507719693,0.7230552085519153,225,189.6706030368805
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,56,0.6983223607623632,0.6953472675432697,232,197.62832880020142
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,57,0.7107077268317321,0.7067798112914161,230,180.9967656135559
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,58,0.7365135141902861,0.7257193056284004,260,186.83241152763367
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,59,0.7223206974282255,0.7203743419711173,208,176.64252090454102
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,60,0.7269633283305442,0.7189812812117755,247,199.6899609565735
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,61,0.7199948533607394,0.7138525108818083,239,206.94361972808838
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,62,0.7274827872621211,0.7191630799644804,249,212.27480149269104
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,63,0.7138038352585281,0.7091377374469611,233,201.15274024009705
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,64,0.7295479695016338,0.7264503154086133,211,186.4071023464203
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,65,0.7254186705793912,0.7184482320928807,241,209.41317319869995
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,66,0.7261939963334192,0.7198603109857916,236,191.97996544837952
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,67,0.7205161770166861,0.7124645593150175,252,204.54719996452332
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,68,0.7024529916305843,0.6990648353246687,232,198.06024479866028
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,69,0.7215499002905241,0.7159663388329003,234,189.7691457271576
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,70,0.7187091259077878,0.7132667847455805,235,189.96864485740662
EXP-B_crossover_uniform,bitflip,uniform,elitist,tournament,71,0.734709659751736,0.7242386937765624,259,202.34387874603271
